City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
183,Piranhas,BR,-16.43,-51.82,95.85,25,3,6.2,clear sky
184,Derzhavinsk,KZ,51.1,66.32,41.2,59,61,11.07,broken clouds
185,Buraydah,SA,26.33,43.98,82.4,21,40,6.93,scattered clouds
186,Verkhnevilyuysk,RU,63.45,120.32,-1.23,91,99,4.52,overcast clouds
187,Geraldton,AU,-28.77,114.6,66.2,88,0,1.12,clear sky
188,Sioux Lookout,CA,50.1,-91.92,44.6,75,75,10.29,broken clouds
189,Upernavik,GL,72.79,-56.15,2.17,80,20,6.4,few clouds
190,Svetlyy,RU,54.67,20.13,53.6,87,75,13.42,broken clouds
191,Saint John,CA,45.27,-66.07,57.0,100,90,12.75,light intensity drizzle
192,Yankton,US,42.87,-97.4,64.0,38,1,11.41,clear sky
193,Florence,IT,43.77,11.25,68.0,45,0,3.36,clear sky
194,Villa Rica,US,33.73,-84.92,66.99,63,1,5.82,clear sky
195,Manadhoo,MV,5.77,73.38,83.75,75,57,8.25,light rain
196,Pilikwe,BW,-22.8,27.19,92.25,23,82,5.17,broken clouds
197,Codrington,AU,-38.27,141.97,48.67,83,75,10.8,broken clouds
198,Yellowknife,CA,62.46,-114.35,10.99,85,90,4.7,light snow
199,Kahului,US,20.89,-156.47,78.8,61,1,3.36,clear sky
200,Santa Marta,CO,11.24,-74.2,88.0,72,87,1.01,light rain
201,Cordoba,AR,-31.41,-64.18,82.99,27,0,13.87,clear sky
202,Kaseda,JP,31.42,130.32,69.21,92,100,8.79,overcast clouds
203,Roald,NO,62.58,6.13,50.0,87,75,24.16,shower rain
204,Amapa,BR,1.0,-52.0,89.73,54,12,7.23,few clouds
205,Kununurra,AU,-15.77,128.73,80.6,83,14,4.7,light rain
206,Tessalit,ML,20.2,1.01,91.62,11,0,14.38,clear sky
207,Monschau,DE,50.55,6.25,44.6,39,0,8.05,clear sky
208,Torbay,CA,47.67,-52.73,51.01,81,90,26.4,overcast clouds
209,Huarmey,PE,-10.07,-78.15,68.56,62,45,9.55,scattered clouds
210,Narsaq,GL,60.92,-46.05,24.8,53,75,24.16,light snow
211,Sao Felix Do Xingu,BR,-6.64,-51.99,82.89,75,100,4.52,moderate rain
212,Hobyo,SO,5.35,48.53,80.94,75,95,12.03,overcast clouds
213,Porto Novo,BJ,6.5,2.6,86.0,79,40,12.75,scattered clouds
214,Aykhal,RU,66.0,111.5,3.2,84,90,4.47,light snow
215,Gravdal,NO,68.12,13.5,46.4,65,75,27.51,broken clouds
216,Rawson,AR,-43.3,-65.1,61.2,49,0,17.13,clear sky
217,Bad Ischl,AT,47.71,13.62,48.2,81,0,4.7,clear sky
218,Sidi Ali,DZ,36.1,0.42,81.5,25,93,21.79,overcast clouds
219,Port Elizabeth,ZA,-33.92,25.57,60.8,87,75,17.22,light rain
220,Kirkuk,IQ,35.47,44.39,69.87,41,12,4.74,few clouds
221,Tura,IN,25.52,90.22,62.8,76,0,4.16,clear sky
222,Vao,NC,-22.67,167.48,75.27,85,0,12.3,clear sky
223,Sungaipenuh,ID,-2.08,101.38,66.43,94,100,0.78,light rain
224,Bosaso,SO,11.28,49.18,75.58,58,21,4.07,few clouds
225,Sur,OM,22.57,59.53,75.49,68,0,6.69,clear sky
226,Colac,AU,-38.33,143.58,48.0,92,56,6.71,broken clouds
227,Maceio,BR,-9.67,-35.74,87.8,62,40,13.87,scattered clouds
228,Hovd,MN,48.01,91.64,29.71,86,21,0.83,few clouds
229,Kidal,ML,18.44,1.41,90.91,11,0,16.89,clear sky
230,Saint-Francois,FR,46.42,3.91,60.8,72,0,2.24,clear sky
231,Mehamn,NO,71.04,27.85,39.2,86,90,25.28,moderate rain
232,Haines Junction,CA,60.75,-137.51,-5.8,83,68,1.12,broken clouds
233,Anahuac,MX,27.23,-100.15,68.0,82,5,6.93,smoke
234,Tripoli,LY,32.88,13.19,71.76,59,0,8.01,clear sky
235,Sangar,RU,63.92,127.47,-3.37,90,99,0.87,overcast clouds
236,Jiangyou,CN,31.77,104.72,59.54,56,35,1.92,light rain
237,Kudat,MY,6.88,116.85,77.0,100,20,5.7,few clouds
238,Chicama,PE,-7.84,-79.15,64.4,77,90,9.17,mist
239,Bathsheba,BB,13.22,-59.52,87.8,66,40,16.11,scattered clouds
240,Carai,BR,-17.19,-41.69,81.14,62,27,3.62,scattered clouds
241,Pacifica,US,37.61,-122.49,55.99,71,75,16.11,haze
242,Port Macquarie,AU,-31.43,152.92,55.0,86,57,1.99,broken clouds
243,Kloulklubed,PW,7.04,134.26,78.8,88,75,4.7,broken clouds
244,Meulaboh,ID,4.14,96.13,78.89,83,100,2.73,light rain
245,Tacuarembo,UY,-31.73,-55.98,75.16,54,0,10.63,clear sky
